[2025-05-05 17:09:23.471] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.81
[2025-05-05 17:09:27.080] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.89
[2025-05-05 17:09:27.186] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.8
[2025-05-05 17:09:27.188] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.8
[2025-05-05 17:09:27.287] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.82
[2025-05-05 17:09:27.288] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.82
[2025-05-05 17:09:27.320] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.88
[2025-05-05 17:09:27.321] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.88
[2025-05-05 17:09:27.405] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.89
[2025-05-05 17:09:27.407] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.89
[2025-05-05 17:09:27.498] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.91
[2025-05-05 17:09:27.499] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.91
[2025-05-05 17:09:27.611] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.74
[2025-05-05 17:09:27.612] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.74
[2025-05-05 17:09:27.720] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.93
[2025-05-05 17:09:27.721] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.93
[2025-05-05 17:09:27.810] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.84
[2025-05-05 17:09:27.811] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.84
[2025-05-05 17:09:27.826] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.8
[2025-05-05 17:09:27.826] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.8
[2025-05-05 17:09:27.950] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.85
[2025-05-05 17:09:27.950] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.85
[2025-05-05 17:09:28.049] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.81
[2025-05-05 17:09:28.050] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.81
[2025-05-05 17:09:28.182] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.77
[2025-05-05 17:09:28.183] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.77
[2025-05-05 17:09:28.303] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.82
[2025-05-05 17:09:28.304] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.82
[2025-05-05 17:09:28.314] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.76
[2025-05-05 17:09:28.315] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.76
[2025-05-05 17:09:28.506] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.81
[2025-05-05 17:09:28.509] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.81
[2025-05-05 17:09:28.619] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.79
[2025-05-05 17:09:28.621] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.79
[2025-05-05 17:09:28.750] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.93
[2025-05-05 17:09:28.752] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.93
[2025-05-05 17:09:28.833] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.95
[2025-05-05 17:09:28.835] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.95
[2025-05-05 17:09:28.849] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.75
[2025-05-05 17:09:28.850] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.75
[2025-05-05 17:09:29.058] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.74
[2025-05-05 17:09:29.060] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.74
[2025-05-05 17:09:29.167] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.87
[2025-05-05 17:09:29.170] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.87
[2025-05-05 17:09:29.268] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.82
[2025-05-05 17:09:29.269] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.82
[2025-05-05 17:09:29.339] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.92
[2025-05-05 17:09:29.340] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.92
[2025-05-05 17:09:29.375] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.85
[2025-05-05 17:09:29.376] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.85
[2025-05-05 17:09:29.490] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.89
[2025-05-05 17:09:29.491] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.89
[2025-05-05 17:09:29.604] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.86
[2025-05-05 17:09:29.605] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.86
[2025-05-05 17:09:29.715] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.91
[2025-05-05 17:09:29.717] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.91
[2025-05-05 17:09:29.816] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.77
[2025-05-05 17:09:29.817] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.77
[2025-05-05 17:09:29.825] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.82
[2025-05-05 17:09:29.825] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.82
[2025-05-05 17:09:29.924] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.9
[2025-05-05 17:09:29.925] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.9
[2025-05-05 17:09:30.036] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.71
[2025-05-05 17:09:30.037] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.71
[2025-05-05 17:09:30.144] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.79
[2025-05-05 17:09:30.145] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.79
[2025-05-05 17:09:30.248] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.91
[2025-05-05 17:09:30.250] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.91
[2025-05-05 17:09:30.352] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.75
[2025-05-05 17:09:30.353] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.75
[2025-05-05 17:09:30.363] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.84
[2025-05-05 17:09:30.364] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.84
[2025-05-05 17:09:30.484] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.9
[2025-05-05 17:09:30.486] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.9
[2025-05-05 17:09:30.596] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.74
[2025-05-05 17:09:30.598] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.74
[2025-05-05 17:09:30.704] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.82
[2025-05-05 17:09:30.707] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.82
[2025-05-05 17:09:30.808] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.95
[2025-05-05 17:09:30.809] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.95
[2025-05-05 17:09:30.836] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.77
[2025-05-05 17:09:30.836] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.77
[2025-05-05 17:09:30.904] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.89
[2025-05-05 17:09:30.905] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.89
[2025-05-05 17:09:31.018] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.87
[2025-05-05 17:09:31.018] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.87
[2025-05-05 17:09:31.122] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.87
[2025-05-05 17:09:31.123] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.87
[2025-05-05 17:09:31.252] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.72
[2025-05-05 17:09:31.254] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.72
[2025-05-05 17:09:31.327] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.77
[2025-05-05 17:09:31.329] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.77
[2025-05-05 17:09:31.361] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.92
[2025-05-05 17:09:31.363] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.92
[2025-05-05 17:09:31.466] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.7
[2025-05-05 17:09:31.468] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.7
[2025-05-05 17:09:31.580] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.86
[2025-05-05 17:09:31.582] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.86
[2025-05-05 17:09:31.673] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.86
[2025-05-05 17:09:31.673] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.86
[2025-05-05 17:09:31.805] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.94
[2025-05-05 17:09:31.807] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.94
[2025-05-05 17:09:31.831] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.79
[2025-05-05 17:09:31.833] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.79
[2025-05-05 17:09:31.893] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.79
[2025-05-05 17:09:31.895] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.79
[2025-05-05 17:09:32.007] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.87
[2025-05-05 17:09:32.009] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.87
[2025-05-05 17:09:32.116] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.83
[2025-05-05 17:09:32.118] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.83
[2025-05-05 17:09:32.220] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.79
[2025-05-05 17:09:32.221] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.79
[2025-05-05 17:09:32.339] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.89
[2025-05-05 17:09:32.341] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.89
[2025-05-05 17:09:32.347] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.88
[2025-05-05 17:09:32.348] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.88
[2025-05-05 17:09:32.564] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.83
[2025-05-05 17:09:32.565] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.83
[2025-05-05 17:09:32.662] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.85
[2025-05-05 17:09:32.665] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.85
[2025-05-05 17:09:32.764] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.92
[2025-05-05 17:09:32.764] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.92
[2025-05-05 17:09:32.891] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.87
[2025-05-05 17:09:32.892] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.87
[2025-05-05 17:09:32.904] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.87
[2025-05-05 17:09:32.906] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.87
[2025-05-05 17:09:33.111] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.85
[2025-05-05 17:09:33.116] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.85
[2025-05-05 17:09:33.213] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.82
[2025-05-05 17:09:33.216] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.82
[2025-05-05 17:09:33.329] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.72
[2025-05-05 17:09:33.329] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.72
[2025-05-05 17:09:33.354] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.79
[2025-05-05 17:09:33.355] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.79
[2025-05-05 17:09:33.437] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.78
[2025-05-05 17:09:33.439] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.78
[2025-05-05 17:09:33.544] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.78
[2025-05-05 17:09:33.546] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.78
[2025-05-05 17:09:33.654] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.78
[2025-05-05 17:09:33.655] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.78
[2025-05-05 17:09:33.762] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.72
[2025-05-05 17:09:33.764] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.72
[2025-05-05 17:09:33.864] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.91
[2025-05-05 17:09:33.866] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.91
[2025-05-05 17:09:33.872] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.75
[2025-05-05 17:09:33.873] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.75
[2025-05-05 17:09:34.105] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.79
[2025-05-05 17:09:34.108] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.79
[2025-05-05 17:09:34.193] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.92
[2025-05-05 17:09:34.195] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.92
[2025-05-05 17:09:34.301] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.76
[2025-05-05 17:09:34.302] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.76
[2025-05-05 17:09:34.363] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.95
[2025-05-05 17:09:34.364] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.95
[2025-05-05 17:09:34.407] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.78
[2025-05-05 17:09:34.407] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.78
[2025-05-05 17:09:34.515] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.8
[2025-05-05 17:09:34.516] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.8
[2025-05-05 17:09:34.642] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.75
[2025-05-05 17:09:34.645] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.75
[2025-05-05 17:09:34.741] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.77
[2025-05-05 17:09:34.743] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.77
[2025-05-05 17:09:34.841] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.86
[2025-05-05 17:09:34.841] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.86
[2025-05-05 17:09:34.876] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.88
[2025-05-05 17:09:34.878] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.88
[2025-05-05 17:09:34.989] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.78
[2025-05-05 17:09:34.990] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.78
[2025-05-05 17:09:35.075] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.91
[2025-05-05 17:09:35.077] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.91
[2025-05-05 17:09:35.195] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.91
[2025-05-05 17:09:35.196] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.91
[2025-05-05 17:09:35.297] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.75
[2025-05-05 17:09:35.300] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.75
[2025-05-05 17:09:35.363] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.75
[2025-05-05 17:09:35.364] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.75
[2025-05-05 17:09:35.511] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.82
[2025-05-05 17:09:35.513] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.82
[2025-05-05 17:09:35.618] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.9
[2025-05-05 17:09:35.621] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.9
[2025-05-05 17:09:35.739] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.82
[2025-05-05 17:09:35.741] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.82
[2025-05-05 17:09:35.843] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.82
[2025-05-05 17:09:35.845] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.82
[2025-05-05 17:09:35.875] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.71
[2025-05-05 17:09:35.876] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.71
[2025-05-05 17:09:35.943] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.94
[2025-05-05 17:09:35.944] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.94
[2025-05-05 17:09:36.054] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.71
[2025-05-05 17:09:36.056] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.71
[2025-05-05 17:09:36.178] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.74
[2025-05-05 17:09:36.179] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.74
[2025-05-05 17:09:36.266] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.84
[2025-05-05 17:09:36.267] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.84
[2025-05-05 17:09:36.389] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.78
[2025-05-05 17:09:36.390] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.78
[2025-05-05 17:09:36.405] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.79
[2025-05-05 17:09:36.407] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.79
[2025-05-05 17:09:36.608] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.8
[2025-05-05 17:09:36.610] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.8
[2025-05-05 17:09:36.716] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.95
[2025-05-05 17:09:36.718] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.95
[2025-05-05 17:09:36.812] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.8
[2025-05-05 17:09:36.815] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.8
[2025-05-05 17:09:36.859] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.75
[2025-05-05 17:09:36.861] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.75
[2025-05-05 17:09:36.926] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.93
[2025-05-05 17:09:36.928] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.93
[2025-05-05 17:09:37.038] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.78
[2025-05-05 17:09:37.039] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.78
[2025-05-05 17:09:37.154] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.76
[2025-05-05 17:09:37.156] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.76
[2025-05-05 17:09:37.253] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.78
[2025-05-05 17:09:37.254] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.78
