[2025-05-11 15:58:44.402] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-11 16:00:05.917] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-11 16:00:10.999] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-11 16:00:11.017] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-11 16:00:12.148] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-11 16:00:12.153] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-11 16:00:17.215] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-11 16:00:17.223] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-11 16:00:18.226] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-11 16:00:18.227] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-11 16:00:19.317] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.88
[2025-05-11 16:00:19.321] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.88
[2025-05-11 16:00:20.424] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.77
[2025-05-11 16:00:20.447] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.77
[2025-05-11 16:00:21.468] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-11 16:00:21.470] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-11 16:00:22.475] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
[2025-05-11 16:00:22.477] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
[2025-05-11 16:00:23.587] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-11 16:00:23.593] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-11 16:00:24.674] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-11 16:00:24.675] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-11 16:01:54.081] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-11 16:01:54.081] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-11 16:01:56.249] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.78
[2025-05-11 16:01:56.251] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.78
[2025-05-11 16:01:57.363] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.78
[2025-05-11 16:01:58.454] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-11 16:01:58.465] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-11 16:01:59.559] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.84
[2025-05-11 16:01:59.570] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.84
[2025-05-11 16:02:00.179] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.96
[2025-05-11 16:02:00.180] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.96
[2025-05-11 16:02:00.658] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-11 16:02:00.659] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-11 16:02:01.666] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.81
[2025-05-11 16:02:01.667] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.81
[2025-05-11 16:02:02.765] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.89
[2025-05-11 16:02:02.767] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.89
[2025-05-11 16:02:03.795] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.9
[2025-05-11 16:02:03.797] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.9
[2025-05-11 16:02:04.804] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-11 16:02:04.806] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-11 16:02:05.837] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-11 16:02:05.841] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-11 16:02:06.926] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-11 16:02:06.927] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-11 16:02:08.018] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-11 16:02:08.026] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-11 16:02:09.112] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-11 16:02:09.117] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-11 16:02:10.209] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-11 16:02:10.219] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-11 16:02:11.303] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-11 16:02:11.304] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-11 16:02:12.398] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-11 16:02:12.403] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-11 16:02:13.488] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-11 16:02:13.503] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-11 16:02:14.586] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.84
[2025-05-11 16:02:14.592] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.84
[2025-05-11 16:02:15.679] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-11 16:02:15.680] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-11 16:02:16.779] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.75
[2025-05-11 16:02:16.787] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.75
[2025-05-11 16:06:56.936] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-11 16:06:56.936] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-11 16:06:58.016] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-11 16:06:58.018] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-11 16:06:59.110] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.85
[2025-05-11 16:06:59.112] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.85
[2025-05-11 16:07:00.140] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-11 16:07:00.141] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-11 16:07:01.172] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-11 16:07:01.174] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-11 16:07:02.180] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-11 16:07:02.193] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-11 16:07:03.200] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
[2025-05-11 16:07:03.202] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
[2025-05-11 16:07:04.315] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.97
[2025-05-11 16:07:04.322] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.97
[2025-05-11 16:07:05.403] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-11 16:07:05.405] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-11 16:07:06.516] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-11 16:07:06.522] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-11 16:07:07.517] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-11 16:07:07.520] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-11 16:07:08.613] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.89
[2025-05-11 16:07:08.615] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.89
[2025-05-11 16:07:09.631] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-11 16:07:09.640] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-11 16:07:10.693] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-11 16:07:10.695] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-11 16:07:11.706] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-11 16:07:11.710] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-11 16:07:12.707] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-11 16:07:12.710] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-11 16:07:13.754] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-11 16:07:13.764] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-11 16:07:14.805] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.97
[2025-05-11 16:07:14.807] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.97
[2025-05-11 16:07:15.895] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-11 16:07:15.897] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-11 16:07:16.896] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-11 16:07:16.898] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-11 16:07:18.028] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.96
[2025-05-11 16:07:18.039] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.96
[2025-05-11 16:07:19.127] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-11 16:07:19.136] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-11 16:07:20.192] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-11 16:07:20.194] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-11 16:07:21.204] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-11 16:07:21.210] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-11 16:07:22.265] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.89
[2025-05-11 16:07:22.274] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.89
[2025-05-11 16:07:23.263] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-11 16:07:23.266] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-11 16:07:24.266] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-11 16:07:24.270] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-11 16:07:25.462] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-11 16:07:25.465] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-11 16:07:26.565] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-11 16:07:26.569] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-11 16:07:27.660] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.85
[2025-05-11 16:07:27.665] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.85
[2025-05-11 16:07:28.750] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.78
[2025-05-11 16:07:28.752] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.78
[2025-05-11 16:07:29.762] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.97
[2025-05-11 16:07:29.764] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.97
[2025-05-11 16:07:30.772] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-11 16:07:30.782] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-11 16:07:31.794] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-11 16:07:31.795] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-11 16:07:32.860] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-11 16:07:32.865] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-11 16:07:33.948] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-11 16:07:35.051] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-11 16:07:35.053] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-11 16:07:36.158] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-11 16:07:36.160] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-11 16:07:37.269] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-11 16:07:37.280] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-11 16:07:38.297] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-11 16:07:38.299] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-11 16:07:39.302] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.77
[2025-05-11 16:07:39.312] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.77
[2025-05-11 16:07:40.314] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-11 16:07:40.321] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-11 16:07:41.333] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.75
[2025-05-11 16:07:41.334] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.75
[2025-05-11 16:07:42.349] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-11 16:07:42.353] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-11 16:07:43.359] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.97
[2025-05-11 16:07:43.362] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.97
[2025-05-11 16:07:44.402] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-11 16:07:44.408] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-11 16:07:45.490] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-11 16:07:45.499] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-11 16:07:46.589] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-11 16:07:46.592] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-11 16:07:47.697] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.85
[2025-05-11 16:07:47.702] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.85
[2025-05-11 16:07:48.775] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-11 16:07:48.780] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-11 16:07:49.858] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.75
[2025-05-11 16:07:49.862] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.75
