[2025-05-09 11:04:39.013] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 11:43:05.776] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 11:43:06.852] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-09 11:43:06.856] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-09 11:43:08.007] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-09 11:43:08.010] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-09 11:43:09.009] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 11:43:09.013] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 11:43:10.043] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 11:43:10.046] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 11:43:11.025] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-09 11:43:11.028] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-09 11:43:12.049] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 11:43:12.050] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 11:43:17.075] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 11:43:17.076] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 11:43:18.139] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-09 11:43:18.149] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-09 11:43:19.170] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 11:43:19.171] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 11:43:20.177] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 11:43:20.179] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 11:46:48.815] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-09 11:46:48.816] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-09 11:46:49.839] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.81
[2025-05-09 11:46:49.841] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.81
[2025-05-09 11:46:50.932] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 11:46:50.933] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 11:46:52.054] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 11:46:52.055] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 11:46:53.125] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 11:46:53.126] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 11:46:54.148] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 11:46:54.150] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 11:46:55.156] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 11:46:56.166] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-09 11:46:56.169] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-09 11:47:01.237] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-09 11:47:01.240] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-09 11:47:02.323] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-09 11:47:02.325] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-09 11:47:03.344] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 11:47:03.346] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 11:47:04.423] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 11:47:04.425] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 11:47:05.425] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-09 11:47:05.427] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-09 11:47:06.514] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.89
[2025-05-09 11:47:06.517] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.89
[2025-05-09 11:47:07.599] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.81
[2025-05-09 11:47:07.602] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.81
[2025-05-09 11:47:08.705] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 11:47:08.708] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 11:47:09.746] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-09 11:47:09.749] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-09 11:47:10.747] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.81
[2025-05-09 11:47:10.750] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.81
[2025-05-09 11:47:11.759] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 11:47:11.760] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 11:47:12.870] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 11:47:12.872] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 11:47:13.955] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-09 11:47:13.957] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-09 11:47:14.965] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.81
[2025-05-09 11:47:14.968] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.81
[2025-05-09 11:47:16.066] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-09 11:47:16.070] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-09 11:47:17.092] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.77
[2025-05-09 11:47:17.094] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.77
[2025-05-09 11:47:18.171] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.81
[2025-05-09 11:47:18.174] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.81
[2025-05-09 11:47:19.274] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-09 11:47:19.277] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-09 11:47:20.287] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-09 11:47:20.290] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-09 11:47:21.299] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-09 11:47:21.302] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-09 11:47:26.413] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-09 11:47:26.414] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-09 11:47:27.439] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-09 11:47:27.442] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-09 11:47:32.533] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.81
[2025-05-09 11:47:32.534] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.81
[2025-05-09 11:47:33.599] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-09 11:47:33.601] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-09 11:47:34.697] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-09 11:47:34.699] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-09 11:47:35.791] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.84
[2025-05-09 11:47:35.795] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.84
[2025-05-09 11:47:36.867] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-09 11:47:36.870] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-09 11:47:38.619] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.77
[2025-05-09 11:47:38.626] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.77
[2025-05-09 12:00:52.864] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-09 12:00:52.864] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-09 12:00:53.957] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-09 12:00:53.959] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-09 12:00:55.050] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.8
[2025-05-09 12:00:55.061] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.8
[2025-05-09 12:00:56.123] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-09 12:00:56.124] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-09 12:00:57.234] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.89
[2025-05-09 12:00:57.238] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.89
[2025-05-09 12:00:58.262] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.98
[2025-05-09 12:00:58.265] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.98
[2025-05-09 12:00:59.309] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 12:00:59.311] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 12:01:00.384] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.89
[2025-05-09 12:01:00.385] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.89
[2025-05-09 12:01:01.493] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 12:01:01.498] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 12:01:02.595] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-09 12:01:02.598] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-09 12:01:03.693] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-09 12:01:03.695] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.79
[2025-05-09 12:01:04.778] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-09 12:01:04.781] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-09 12:01:05.838] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-09 12:01:05.840] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-09 12:01:06.849] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.77
[2025-05-09 12:01:06.852] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.77
[2025-05-09 12:01:07.856] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-09 12:01:07.857] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-09 12:01:08.869] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.75
[2025-05-09 12:01:08.872] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.75
[2025-05-09 12:01:09.883] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.89
[2025-05-09 12:01:09.885] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.89
[2025-05-09 12:01:10.911] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 12:01:10.913] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 12:01:12.003] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.87
[2025-05-09 12:01:12.005] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.87
[2025-05-09 12:01:13.136] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.77
[2025-05-09 12:01:13.143] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.77
[2025-05-09 12:01:14.201] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-09 12:01:14.203] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-09 12:01:15.278] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-09 12:01:15.280] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-09 12:01:16.393] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-09 12:01:16.396] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-09 12:01:17.417] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 12:01:17.421] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 12:01:18.428] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-09 12:01:18.431] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-09 12:01:19.448] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.75
[2025-05-09 12:01:19.451] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.75
[2025-05-09 12:01:24.637] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-09 12:01:24.638] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-09 12:01:25.607] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.89
[2025-05-09 12:01:25.607] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.89
[2025-05-09 12:01:26.716] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 12:01:26.717] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 12:01:27.791] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.94
[2025-05-09 12:01:27.792] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.94
[2025-05-09 12:01:28.932] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 12:01:28.934] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 12:01:30.632] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 12:01:30.636] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 12:04:16.251] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.85
[2025-05-09 12:04:16.252] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.85
[2025-05-09 12:04:17.308] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
