[2025-05-09 12:06:43.779] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.96
[2025-05-09 12:20:50.226] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.88
[2025-05-09 12:20:52.422] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.86
[2025-05-09 12:20:52.425] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.86
[2025-05-09 12:20:54.579] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.96
[2025-05-09 12:20:54.581] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.96
[2025-05-09 12:22:04.747] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.83
[2025-05-09 12:22:04.748] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.83
[2025-05-09 12:22:06.946] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-09 12:22:06.948] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-09 12:22:09.131] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-09 12:22:09.133] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-09 12:22:11.182] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.94
[2025-05-09 12:22:11.184] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.94
[2025-05-09 21:48:45.280] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-09 21:48:45.282] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-09 21:48:47.466] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-09 21:48:47.467] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-09 21:48:49.657] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
[2025-05-09 21:48:49.657] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
[2025-05-09 21:48:51.749] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.94
[2025-05-09 21:48:51.749] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.94
[2025-05-09 21:48:53.803] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-09 21:48:53.803] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-09 21:48:55.989] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.99
[2025-05-09 21:48:55.990] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.99
[2025-05-09 21:48:58.176] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.89
[2025-05-09 21:48:58.177] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.89
[2025-05-09 21:49:00.256] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.89
[2025-05-09 21:49:00.257] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.89
[2025-05-09 21:49:02.443] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-09 21:49:02.443] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-09 21:49:04.644] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.91
[2025-05-09 21:49:04.645] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.91
[2025-05-09 21:49:06.781] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.92
[2025-05-09 21:49:06.781] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.92
[2025-05-09 21:49:08.900] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-09 21:49:08.901] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-09 21:49:11.092] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.83
[2025-05-09 21:49:11.092] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.83
[2025-05-09 21:49:13.265] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.98
[2025-05-09 21:49:13.265] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.98
[2025-05-09 21:49:15.480] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-09 21:49:15.482] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-09 21:49:17.644] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-09 21:49:17.644] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-09 21:49:19.836] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-09 21:49:19.837] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-09 21:49:22.032] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.83
[2025-05-09 21:49:22.033] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.83
[2025-05-09 21:49:24.211] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-09 21:49:24.212] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-09 21:49:26.347] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.84
[2025-05-09 21:49:26.347] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.84
[2025-05-09 21:49:28.473] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.99
[2025-05-09 21:49:28.474] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.99
[2025-05-09 21:49:30.686] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-09 21:49:30.689] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-09 21:49:32.865] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.88
[2025-05-09 21:49:32.867] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.88
[2025-05-09 21:49:34.890] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.86
[2025-05-09 21:49:34.890] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.86
[2025-05-09 21:49:37.035] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.88
[2025-05-09 21:49:37.035] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.88
[2025-05-09 21:49:39.253] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-09 21:49:39.254] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-09 21:49:41.399] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-09 21:49:41.402] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-09 21:49:44.509] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.92
[2025-05-09 21:49:44.510] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.92
[2025-05-09 21:49:46.724] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.82
[2025-05-09 21:49:46.725] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.82
[2025-05-09 21:49:48.930] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-09 21:49:48.933] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-09 21:49:50.936] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.98
[2025-05-09 21:49:50.936] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.98
[2025-05-09 21:49:53.090] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.98
[2025-05-09 21:49:53.094] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.98
[2025-05-09 21:49:55.261] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-09 21:49:55.262] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-09 21:49:57.433] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-09 21:49:57.436] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-09 21:49:59.640] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-09 21:49:59.641] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-09 21:50:01.934] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.89
[2025-05-09 21:50:01.937] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.89
[2025-05-09 21:50:04.034] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.88
[2025-05-09 21:50:04.036] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.88
[2025-05-09 21:50:06.221] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.86
[2025-05-09 21:50:06.222] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.86
[2025-05-09 21:50:08.393] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.89
[2025-05-09 21:50:08.393] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.89
[2025-05-09 21:50:10.474] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
[2025-05-09 21:50:10.474] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
[2025-05-09 21:50:12.589] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.81
[2025-05-09 21:50:12.589] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.81
[2025-05-09 21:50:14.783] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.81
[2025-05-09 21:50:14.783] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.81
[2025-05-09 21:50:16.963] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.98
[2025-05-09 21:50:16.963] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.98
[2025-05-09 21:50:19.171] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.85
[2025-05-09 21:50:19.174] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.85
[2025-05-09 21:50:21.340] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
[2025-05-09 21:50:21.341] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
[2025-05-09 21:50:23.455] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.81
[2025-05-09 21:50:23.456] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.81
[2025-05-09 21:50:25.471] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
[2025-05-09 21:50:25.472] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
[2025-05-09 21:50:27.565] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-09 21:50:27.566] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-09 21:50:29.760] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.87
[2025-05-09 21:50:29.761] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.87
[2025-05-09 21:50:31.984] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-09 21:50:31.984] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-09 21:50:34.148] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.8
[2025-05-09 21:50:34.148] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.8
[2025-05-09 21:50:36.343] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-09 21:50:36.343] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-09 21:50:38.484] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.87
[2025-05-09 21:50:38.485] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.87
[2025-05-09 21:50:40.495] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.82
[2025-05-09 21:50:40.496] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.82
[2025-05-09 21:50:42.534] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-09 21:50:42.534] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-09 21:50:44.603] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.85
[2025-05-09 21:50:44.604] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.85
[2025-05-09 21:50:46.800] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-09 21:50:46.801] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-09 21:50:48.978] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.81
[2025-05-09 21:50:48.980] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.81
[2025-05-09 21:50:51.087] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.88
[2025-05-09 21:50:51.089] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.88
[2025-05-09 21:50:53.228] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-09 21:50:53.230] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-09 21:50:55.428] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-09 21:50:55.428] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-09 21:50:57.579] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.96
[2025-05-09 21:50:57.580] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.96
[2025-05-09 21:50:59.790] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.84
[2025-05-09 21:50:59.791] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.84
[2025-05-09 21:51:01.981] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.9
[2025-05-09 21:51:01.982] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.9
[2025-05-09 21:51:04.087] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-09 21:51:04.088] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-09 21:51:06.246] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.87
[2025-05-09 21:51:06.247] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.87
[2025-05-09 21:51:08.462] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-09 21:51:08.466] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-09 21:51:10.593] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.98
[2025-05-09 21:51:10.593] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.98
