[2025-05-08 10:56:34.408] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-08 11:05:10.958] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.93
[2025-05-08 11:05:10.960] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.93
[2025-05-08 11:05:13.157] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-08 11:05:13.159] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-08 11:05:15.366] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.94
[2025-05-08 11:05:15.368] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.94
[2025-05-08 11:05:17.377] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.84
[2025-05-08 11:05:17.378] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.84
[2025-05-08 11:05:19.417] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.99
[2025-05-08 11:05:19.418] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.99
[2025-05-08 11:10:32.733] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.87
[2025-05-08 11:10:32.734] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.87
[2025-05-08 11:10:34.923] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.8
[2025-05-08 11:10:34.924] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.8
[2025-05-08 11:10:37.093] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.96
[2025-05-08 11:10:37.094] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.96
[2025-05-08 11:10:39.213] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.82
[2025-05-08 11:10:39.214] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.82
[2025-05-08 11:10:41.409] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.81
[2025-05-08 11:10:41.411] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.81
[2025-05-08 11:10:43.588] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-08 11:10:43.589] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-08 11:10:45.681] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-08 11:10:45.682] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-08 11:10:47.881] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
[2025-05-08 11:10:47.882] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
[2025-05-08 11:10:50.066] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-08 11:10:50.067] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-08 11:10:52.223] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.93
[2025-05-08 11:10:52.225] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.93
[2025-05-08 11:10:54.261] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.85
[2025-05-08 11:10:54.262] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.85
[2025-05-08 11:10:56.277] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-08 11:10:56.278] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-08 11:10:58.337] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.85
[2025-05-08 11:10:58.338] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.85
[2025-05-08 11:11:00.383] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:11:00.384] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:11:02.522] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-08 11:11:02.523] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-08 11:11:04.748] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-08 11:11:04.749] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-08 11:11:06.954] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-08 11:11:06.957] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-08 11:11:08.980] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.91
[2025-05-08 11:11:08.982] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.91
[2025-05-08 11:11:10.993] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-08 11:11:10.994] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-08 11:11:13.029] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-08 11:11:13.031] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-08 11:11:15.137] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.85
[2025-05-08 11:11:15.138] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.85
[2025-05-08 11:11:17.203] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-08 11:11:17.207] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-08 11:11:19.333] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.8
[2025-05-08 11:11:19.335] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.8
[2025-05-08 11:11:21.527] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.91
[2025-05-08 11:11:21.530] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.91
[2025-05-08 11:11:23.692] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.98
[2025-05-08 11:11:23.693] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.98
[2025-05-08 11:14:07.509] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.9
[2025-05-08 11:14:07.509] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.9
[2025-05-08 11:14:09.665] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.9
[2025-05-08 11:14:09.668] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.9
[2025-05-08 11:14:11.835] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.87
[2025-05-08 11:14:11.836] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.87
[2025-05-08 11:14:13.978] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:14:13.979] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:14:16.034] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:14:16.037] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:14:19.057] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.84
[2025-05-08 11:14:19.059] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.84
[2025-05-08 11:14:21.089] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.81
[2025-05-08 11:14:21.092] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.81
[2025-05-08 11:14:23.106] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-08 11:14:23.108] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-08 11:14:25.286] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-08 11:14:25.287] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-08 11:14:27.475] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-08 11:14:27.477] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-08 11:14:29.604] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-08 11:14:29.605] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-08 11:14:31.647] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-08 11:14:31.648] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-08 11:16:44.027] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.91
[2025-05-08 11:16:44.027] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.91
[2025-05-08 11:16:46.163] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.82
[2025-05-08 11:16:46.163] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.82
[2025-05-08 11:16:48.351] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.92
[2025-05-08 11:16:48.353] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.92
[2025-05-08 11:16:50.471] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.8
[2025-05-08 11:16:50.473] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.8
[2025-05-08 11:16:52.512] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.98
[2025-05-08 11:16:52.513] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.98
[2025-05-08 11:16:54.518] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.81
[2025-05-08 11:16:54.519] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.81
[2025-05-08 11:16:56.566] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-08 11:16:56.567] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-08 11:16:58.571] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.93
[2025-05-08 11:16:58.572] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.93
[2025-05-08 11:17:00.618] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:17:00.619] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:17:02.758] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-08 11:17:02.759] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-08 11:17:04.927] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.96
[2025-05-08 11:17:04.927] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.96
[2025-05-08 11:17:07.112] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-08 11:17:07.113] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-08 11:17:09.238] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-08 11:17:09.242] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-08 11:43:02.916] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-08 11:43:02.916] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-08 11:43:05.081] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-08 11:43:05.083] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-08 11:43:07.277] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-08 11:43:07.278] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-08 11:43:09.351] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.91
[2025-05-08 11:43:09.351] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.91
[2025-05-08 11:43:11.532] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.93
[2025-05-08 11:43:11.532] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.93
[2025-05-08 11:43:13.635] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-08 11:43:13.637] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-08 11:43:15.730] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:43:15.731] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:43:17.909] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.8
[2025-05-08 11:43:17.910] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.8
[2025-05-08 11:43:20.115] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.96
[2025-05-08 11:43:20.116] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.96
[2025-05-08 11:43:22.284] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.82
[2025-05-08 11:43:22.285] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.82
[2025-05-08 11:43:24.490] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.89
[2025-05-08 11:43:24.493] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.89
[2025-05-08 11:43:26.563] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-08 11:43:26.564] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-08 11:43:28.803] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.84
[2025-05-08 11:43:28.804] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.84
[2025-05-08 11:43:30.959] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-08 11:43:30.959] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-08 11:43:33.038] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.82
[2025-05-08 11:43:33.039] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.82
[2025-05-08 11:43:35.145] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.9
[2025-05-08 11:43:35.146] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.9
[2025-05-08 11:43:37.321] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.99
[2025-05-08 11:43:37.323] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.99
[2025-05-08 11:43:39.504] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-08 11:43:39.505] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-08 11:43:41.609] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-08 11:43:41.610] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-08 11:43:43.650] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.88
[2025-05-08 11:43:43.651] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.88
[2025-05-08 11:43:45.675] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:43:45.678] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:43:47.884] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-08 11:43:47.887] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-08 11:43:50.075] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-08 11:43:50.077] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-08 11:43:52.160] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:43:52.161] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:43:54.283] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.91
[2025-05-08 11:43:54.283] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.91
[2025-05-08 11:43:56.306] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.86
[2025-05-08 11:43:56.307] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.86
[2025-05-08 11:43:58.346] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.84
[2025-05-08 11:43:58.350] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.84
[2025-05-08 11:44:00.460] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.86
[2025-05-08 11:44:00.461] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.86
[2025-05-08 11:44:02.556] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-08 11:44:02.556] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-08 11:44:04.753] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-08 11:44:04.756] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.97
[2025-05-08 11:44:06.854] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.86
[2025-05-08 11:44:06.855] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.86
[2025-05-08 11:44:08.939] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-08 11:44:08.943] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.87
[2025-05-08 11:44:10.959] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.96
[2025-05-08 11:44:10.961] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.96
[2025-05-08 11:44:12.972] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-08 11:44:12.974] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-08 11:44:14.981] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:44:14.982] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-08 11:44:17.011] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.93
[2025-05-08 11:44:17.013] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.93
[2025-05-08 11:44:19.165] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.87
[2025-05-08 11:44:19.167] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.87
[2025-05-08 11:44:21.382] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-08 11:44:21.383] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-08 11:44:23.547] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-08 11:44:23.549] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-08 11:57:08.374] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.98
[2025-05-08 11:57:08.376] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.98
[2025-05-08 11:57:10.486] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.94
[2025-05-08 11:57:10.488] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.94
[2025-05-08 11:57:12.660] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-08 11:57:12.661] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-08 11:57:14.828] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
[2025-05-08 11:57:14.829] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
[2025-05-08 11:57:16.867] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.85
[2025-05-08 11:57:16.868] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.85
[2025-05-08 11:57:18.874] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-08 11:57:18.875] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-08 11:57:20.992] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
[2025-05-08 11:57:20.992] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
